,,,,,,,,,,art,art,art,art,bus,bus,bus,bus,cs,cs,cs,cs,econ,econ,econ,econ,edu,edu,edu,edu,eng,eng,eng,eng,humanities,humanities,humanities,humanities,lifesci,lifesci,lifesci,lifesci,math,math,math,math,nurse,nurse,nurse,nurse,polisci,polisci,polisci,polisci,social,social,social,social
24,1011,Middle Tennessee State University (MTSU) (In-State),45%,"$85,880 ","$120,000 ",4.60%,"$47,850 ","$158,000 ",7.70%,"$10,900 ",0.80%,"$48,920 ",3.80%,"$192,600 ",6.20%,"$230,600 ",9.40%,"$506,800 ",10.30%,"$544,800 ",13.60%,,,,,,,,,,,,,,,,,,,,,,,,,"$246,000 ",7.20%,"$284,000 ",10.30%,,,,,,,,
0,1012 (tie),Winston-Salem State University (Out-Of-State),40%,"$116,900 ","$119,700 ",3.80%,"$76,750 ","$159,800 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1012 (tie),Montana State University - Billings Campus (In-State),46%,"$79,470 ","$119,700 ",4.90%,"$54,480 ","$144,700 ",6.90%,,,,,"$67,260 ",3.30%,"$92,250 ",5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1014,Marshall University (Out-Of-State),44%,"$114,500 ","$119,300 ",3.80%,"$77,920 ","$155,800 ",5.80%,,,,,"$187,800 ",5.10%,"$224,400 ",7.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1015,Azusa Pacific University ,63%,"$182,200 ","$118,900 ",2.70%,"$120,000 ","$181,100 ",4.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1016 (tie),"Simpson College - Indianola, IA ",67%,"$158,100 ","$118,800 ",3.00%,"$80,160 ","$196,800 ",6.60%,,,,,"$184,100 ",4.10%,"$262,100 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1016 (tie),Clarion University of Pennsylvania (Out-Of-State),48%,"$114,700 ","$118,800 ",3.80%,"$88,290 ","$145,100 ",5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1016 (tie),University of Central Arkansas (Out-Of-State),41%,"$106,200 ","$118,800 ",4.00%,"$71,100 ","$153,900 ",6.10%,,,,,"$224,300 ",6.00%,"$259,400 ",8.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1019,Northwestern Oklahoma State University (Out-Of-State),31%,"$90,020 ","$118,600 ",4.50%,"$64,350 ","$144,200 ",6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1020,University of Hawaii at Manoa (Out-Of-State),56%,"$163,700 ","$118,500 ",2.90%,"$130,500 ","$151,600 ",4.10%,,,,,"$92,830 ",2.40%,"$126,000 ",3.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1021,Longwood University (Out-Of-State),61%,"$144,600 ","$118,300 ",3.20%,"$116,000 ","$146,900 ",4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1022,Western Kentucky University (Out-Of-State),43%,"$129,600 ","$118,100 ",3.50%,"$101,600 ","$146,200 ",4.70%,,,,,"$101,300 ",3.10%,"$129,400 ",4.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1023,Catawba College ,50%,"$160,200 ","$117,000 ",2.90%,"$88,180 ","$189,100 ",6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1024,Eastern Michigan University (Out-Of-State),37%,"$162,800 ","$116,900 ",2.90%,"$132,000 ","$147,700 ",4.00%,"($218,000)",<-21.9%,"($187,000)",<-20.8%,"$186,600 ",4.10%,"$217,400 ",5.20%,"$407,800 ",6.60%,"$438,600 ",7.80%,,,,,"($86,700)",-3.60%,"($55,900)",-2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1025 (tie),SUNY - College at Cortland (In-State),69%,"$88,640 ","$116,700 ",4.50%,"$66,850 ","$138,500 ",5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1025 (tie),Nicholls State University (In-State),39%,"$75,910 ","$116,700 ",4.90%,"$45,750 ","$146,900 ",7.60%,,,,,"$25,740 ",1.60%,"$55,900 ",4.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1027 (tie),Minnesota State University - Moorhead Campus (Out-Of-State),46%,"$86,250 ","$116,600 ",4.50%,"$66,570 ","$136,300 ",5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1027 (tie),University of Wisconsin (UW) - Oshkosh Campus (Out-Of-State),50%,"$116,600 ","$116,600 ",3.70%,"$97,600 ","$135,600 ",4.60%,"($107,000)",-11.60%,"($88,100)",-10.80%,"$198,800 ",5.30%,"$217,800 ",6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1029,Western Carolina University (Out-Of-State),48%,"$115,300 ","$116,000 ",3.70%,"$88,980 ","$142,300 ",5.10%,,,,,"$19,870 ",1.00%,"$46,180 ",2.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1030 (tie),Spring Arbor University ,53%,"$136,700 ","$115,900 ",3.30%,"$73,360 ","$179,200 ",6.50%,,,,,"$60,150 ",2.00%,"$123,500 ",5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1030 (tie),Arkansas State University (ASU) (Out-Of-State),40%,"$113,900 ","$115,900 ",3.70%,"$70,480 ","$159,300 ",6.30%,,,,,"$108,400 ",3.60%,"$151,800 ",6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1032,Southern Arkansas University - Main Campus (Out-Of-State),33%,"$93,000 ","$115,300 ",4.30%,"$48,430 ","$159,900 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1033,Carthage College ,60%,"$176,200 ","$114,900 ",2.70%,"$110,700 ","$180,500 ",5.10%,,,,,"$234,200 ",4.50%,"$299,800 ",6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1034,Missouri State University (MSU) (In-State),55%,"$79,280 ","$114,700 ",4.70%,"$57,280 ","$136,700 ",6.50%,"$35,670 ",2.00%,"$57,680 ",3.70%,"$152,000 ",5.70%,"$174,000 ",7.40%,"$613,000 ",11.60%,"$635,000 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1035,California State University - Dominguez Hills (CSUDH) (Out-Of-State),28%,"$163,300 ","$114,300 ",2.90%,"$112,500 ","$165,200 ",4.80%,,,,,"$91,810 ",2.40%,"$142,700 ",4.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1036,Columbus College of Art And Design ,55%,"$168,700 ","$113,300 ",2.80%,"$106,500 ","$175,500 ",5.20%,"$121,200 ",2.90%,"$183,400 ",5.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1037 (tie),University of Nebraska at Kearney (Out-Of-State),56%,"$108,500 ","$112,900 ",3.80%,"$80,940 ","$140,400 ",5.30%,,,,,"$187,800 ",5.30%,"$215,300 ",6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1037 (tie),Westfield State University (Out-Of-State),60%,"$108,500 ","$112,900 ",3.80%,"$94,570 ","$126,800 ",4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1039,Stephen F. Austin State University (SFA) (Out-Of-State),44%,"$136,800 ","$112,300 ",3.20%,"$101,400 ","$147,700 ",4.80%,"$56,160 ",1.90%,"$91,640 ",3.40%,"$239,400 ",5.40%,"$274,900 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1040,Eastern New Mexico University - Main Campus (Out-Of-State),29%,"$98,200 ","$112,200 ",4.10%,"$75,490 ","$134,900 ",5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1041,University of North Carolina at Wilmington (UNCW) (In-State),69%,"$73,380 ","$111,900 ",4.90%,"$49,030 ","$136,200 ",7.00%,,,,,"$150,700 ",5.90%,"$175,000 ",8.10%,"$584,800 ",11.80%,"$609,200 ",14.10%,,,,,,,,,,,,,"$93,380 ",4.40%,"$117,700 ",6.50%,,,,,,,,,,,,,,,,,,,,
6,1042,University of Central Oklahoma (UCO) (Out-Of-State),32%,"$115,600 ","$111,600 ",3.60%,"$88,980 ","$138,200 ",5.00%,,,,,"$434,600 ",8.30%,"$461,300 ",9.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1043,University of Memphis (U of M) (Out-Of-State),40%,"$167,500 ","$111,400 ",2.70%,"$124,100 ","$154,800 ",4.30%,"($73,100)",-2.70%,"($29,800)",-1.20%,"$148,700 ",3.40%,"$192,100 ",5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1044 (tie),University of The Incarnate Word ,47%,"$164,000 ","$110,800 ",2.80%,"$95,090 ","$179,700 ",5.60%,,,,,"$132,100 ",3.20%,"$201,000 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1044 (tie),University of North Alabama (UNA) (Out-Of-State),32%,"$90,360 ","$110,800 ",4.30%,"$67,800 ","$133,400 ",5.80%,,,,,"$47,980 ",2.30%,"$70,540 ",3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$250,700 ",7.00%,"$273,200 ",8.60%,,,,,,,,
18,1046,University of North Carolina at Greensboro (UNCG) (In-State),54%,"$73,980 ","$110,500 ",4.80%,"$37,600 ","$146,900 ",8.50%,"$62,250 ",3.30%,"$98,620 ",6.80%,"$222,000 ",7.40%,"$258,400 ",11.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$352,700 ",9.30%,"$389,100 ",13.10%,,,,,,,,
6,1047 (tie),Ohio Dominican University ,41%,"$161,900 ","$110,000 ",2.80%,"$86,020 ","$185,900 ",6.10%,,,,,"$162,000 ",3.70%,"$237,900 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1047 (tie),Missouri Western State University (Out-Of-State),31%,"$102,600 ","$110,000 ",3.90%,"$74,720 ","$137,900 ",5.50%,,,,,"$243,700 ",6.40%,"$271,500 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1049,Fort Lewis College (In-State),38%,"$87,050 ","$109,900 ",4.30%,"$46,190 ","$150,800 ",7.70%,,,,,"$249,100 ",7.20%,"$289,900 ",10.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1050,North Georgia College and State University (Out-Of-State),52%,"$115,300 ","$109,600 ",3.60%,"$90,640 ","$134,300 ",4.80%,,,,,"$102,800 ",3.40%,"$127,400 ",4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1051,"St. John Fisher College - Rochester, NY ",75%,"$157,200 ","$109,500 ",2.80%,"$97,240 ","$169,500 ",5.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1052,Northwestern State University (Out-Of-State),35%,"$108,500 ","$109,400 ",3.70%,"$72,930 ","$145,000 ",5.80%,,,,,"$159,300 ",4.80%,"$194,900 ",6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$220,900 ",5.90%,"$256,500 ",8.00%,,,,,,,,
0,1053,East Stroudsburg University (ESU) (In-State),57%,"$84,240 ","$109,300 ",4.40%,"$59,740 ","$133,800 ",6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1054,Southern Connecticut State University (SCSU) (In-State),44%,"$95,550 ","$108,600 ",4.00%,"$65,890 ","$138,200 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1055,"Cameron University - Lawton, OK (Out-Of-State)",19%,"$103,200 ","$108,300 ",3.80%,"$75,650 ","$135,900 ",5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1056,Emporia State University (In-State),42%,"$71,240 ","$107,800 ",4.90%,"$51,450 ","$127,600 ",6.60%,,,,,"$157,100 ",6.20%,"$176,800 ",7.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1057,Harding University ,61%,"$105,600 ","$107,000 ",3.70%,"$65,780 ","$146,800 ",6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1058,Appalachian State University (Out-Of-State),66%,"$120,100 ","$106,900 ",3.40%,"$87,930 ","$139,000 ",5.00%,,,,,"$213,300 ",5.40%,"$245,400 ",7.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1059,Centenary College ,49%,"$162,100 ","$106,600 ",2.70%,"$95,620 ","$173,100 ",5.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1060,Northern State University (In-State),42%,"$79,300 ","$105,800 ",4.50%,"$59,340 ","$125,800 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1061,"Lake Superior State University - Sault Ste Marie, MI (Out-Of-State)",38%,"$127,500 ","$105,100 ",3.20%,"$87,680 ","$144,900 ",5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1062,George Fox University ,64%,"$166,700 ","$104,700 ",2.60%,"$95,530 ","$175,900 ",5.50%,,,,,"$111,400 ",2.80%,"$182,600 ",5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1063,Jamestown College ,52%,"$115,500 ","$104,300 ",3.40%,"$66,740 ","$153,100 ",6.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1064 (tie),Houghton College ,67%,"$153,400 ","$104,200 ",2.80%,"$86,370 ","$171,300 ",5.80%,,,,,"$189,000 ",4.30%,"$256,000 ",7.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1064 (tie),Grand Valley State University (Out-Of-State),66%,"$115,000 ","$104,200 ",3.40%,"$88,700 ","$130,400 ",4.80%,,,,,"$132,300 ",4.10%,"$158,600 ",5.40%,"$380,000 ",7.70%,"$406,300 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1066,Avila University ,43%,"$149,200 ","$103,700 ",2.80%,"$80,970 ","$171,900 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1067,North Carolina Central University (In-State),43%,"$79,570 ","$103,500 ",4.40%,"$39,020 ","$144,100 ",8.20%,,,,,"$136,000 ",5.30%,"$176,500 ",9.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1068,University of Findlay ,53%,"$163,400 ","$103,000 ",2.60%,"$91,880 ","$174,600 ",5.60%,,,,,"$134,900 ",3.20%,"$206,500 ",6.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1069,Georgia College & State University (GCSU) (Out-Of-State),57%,"$163,300 ","$102,700 ",2.60%,"$133,600 ","$132,400 ",3.70%,,,,,"$147,100 ",3.40%,"$176,900 ",4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1070,Upper Iowa University ,41%,"$151,600 ","$101,700 ",2.80%,"$76,070 ","$177,300 ",6.40%,,,,,"$151,500 ",3.70%,"$227,100 ",7.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1071,Bellarmine University ,62%,"$200,200 ","$101,300 ",2.20%,"$105,500 ","$196,000 ",5.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1072,Northwest Missouri State University (Out-Of-State),52%,"$94,290 ","$100,700 ",3.90%,"$65,210 ","$129,700 ",5.80%,,,,,"$110,100 ",4.10%,"$139,200 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1073,University of Mount Union ,65%,"$149,100 ","$100,300 ",2.80%,"$92,600 ","$156,800 ",5.20%,,,,,"$261,100 ",5.40%,"$317,600 ",7.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1074 (tie),University of Arkansas - Little Rock Campus (In-State),20%,"$101,200 ","$100,200 ",3.70%,"$55,570 ","$145,800 ",6.80%,,,,,"$187,000 ",5.50%,"$232,700 ",8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1074 (tie),Lindenwood University ,41%,"$151,600 ","$100,200 ",2.70%,"$112,900 ","$139,000 ",4.30%,,,,,"$154,300 ",3.70%,"$193,000 ",5.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1076,Missouri Southern State University (MSSU) (Out-Of-State),34%,"$87,530 ","$99,870 ",4.00%,"$62,140 ","$125,300 ",5.80%,,,,,"$221,400 ",6.70%,"$246,700 ",8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1077,Northeastern State University (In-State),30%,"$62,850 ","$99,840 ",5.00%,"$38,380 ","$124,300 ",7.70%,,,,,"$185,600 ",7.30%,"$210,100 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,920 ",1.50%,"$43,390 ",4.00%
6,1078,Mount Mercy University ,54%,"$148,500 ","$99,810 ",2.80%,"$87,330 ","$161,000 ",5.50%,,,,,"$110,000 ",3.00%,"$171,100 ",5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1079,Davenport University ,35%,"$111,900 ","$99,210 ",3.40%,"$75,600 ","$135,500 ",5.40%,,,,,"$61,450 ",2.40%,"$97,750 ",4.40%,"$274,500 ",6.60%,"$310,800 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1080,LaGrange College ,43%,"$150,600 ","$98,710 ",2.70%,"$79,000 ","$170,300 ",6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1081,West Liberty University (In-State),41%,"$81,330 ","$98,550 ",4.20%,"$47,330 ","$132,500 ",7.10%,,,,,"$21,720 ",1.40%,"$55,720 ",4.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1082,Biola University ,62%,"$183,300 ","$98,240 ",2.30%,"$129,100 ","$152,500 ",4.10%,,,,,"$103,800 ",2.40%,"$158,100 ",4.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1083,Oral Roberts University (ORU) ,51%,"$140,800 ","$97,910 ",2.80%,"$83,250 ","$155,500 ",5.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1084,Murray State University (In-State),54%,"$79,600 ","$97,810 ",4.30%,"$42,470 ","$134,900 ",7.60%,"($185,000)",<-21.9%,"($147,000)",<-20.8%,"$97,930 ",4.30%,"$135,100 ",7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1085,Delaware State University (In-State),33%,"$100,000 ","$97,790 ",3.60%,"$67,910 ","$129,900 ",5.70%,,,,,"$110,100 ",3.90%,"$142,200 ",6.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1086,University of Wisconsin (UW) - River Falls Campus (Out-Of-State),54%,"$110,900 ","$97,220 ",3.40%,"$95,960 ","$112,100 ",4.10%,,,,,"$163,900 ",4.80%,"$178,800 ",5.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1087,Liberty University ,46%,"$135,600 ","$96,940 ",2.90%,"$99,620 ","$132,900 ",4.50%,,,,,"$236,400 ",5.30%,"$272,400 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$305,700 ",6.30%,"$341,700 ",7.90%,,,,,,,,
6,1088,Jacksonville State University (JSU) (Out-Of-State),29%,"$110,900 ","$96,760 ",3.40%,"$74,400 ","$133,200 ",5.40%,,,,,"($8,270)",-0.20%,"$28,210 ",1.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1089,Valdosta State University (VSU) (In-State),41%,"$94,100 ","$96,580 ",3.80%,"$65,090 ","$125,600 ",5.70%,,,,,"$229,900 ",6.50%,"$258,900 ",8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1090,Fontbonne University ,34%,"$148,900 ","$96,290 ",2.70%,"$92,670 ","$152,500 ",5.20%,,,,,"$73,100 ",2.20%,"$129,300 ",4.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1091,Lenoir-Rhyne University ,49%,"$168,700 ","$96,230 ",2.40%,"$81,210 ","$183,700 ",6.30%,,,,,"$194,700 ",4.10%,"$282,200 ",8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1092,"Lee University - Cleveland, TN ",49%,"$99,000 ","$95,910 ",3.60%,"$51,620 ","$143,300 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1093,Eastern Oregon University (In-State),32%,"$85,660 ","$95,830 ",4.00%,"$61,400 ","$120,100 ",5.70%,,,,,"$366,700 ",8.90%,"$390,900 ",10.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1094,University of Wisconsin (UW) - Stevens Point Campus (Out-Of-State),60%,"$108,000 ","$95,510 ",3.40%,"$93,110 ","$110,400 ",4.20%,,,,,"$177,900 ",5.20%,"$192,800 ",5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1095,Evergreen State College (In-State),54%,"$85,430 ","$95,480 ",4.00%,"$57,470 ","$123,400 ",6.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1096,Southeast Missouri State University (In-State),46%,"$80,020 ","$94,400 ",4.10%,"$53,550 ","$120,900 ",6.30%,,,,,"$325,400 ",8.60%,"$351,900 ",10.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1097,Colorado College (CC) ,90%,"$212,000 ","$93,950 ",2.00%,"$93,600 ","$212,400 ",6.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1098,Humboldt State University (Out-Of-State),40%,"$155,400 ","$93,480 ",2.50%,"$108,300 ","$140,600 ",4.40%,,,,,"($57,200)",-2.10%,"($10,100)",-0.30%,,,,,,,,,,,,,,,,,,,,,"$357,600 ",6.30%,"$404,700 ",8.30%,,,,,,,,,,,,,,,,
6,1099,Gustavus Adolphus College ,83%,"$181,000 ","$93,470 ",2.30%,"$88,160 ","$186,300 ",6.00%,,,,,"$369,700 ",5.90%,"$462,500 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1100,University of Southern Indiana (Out-Of-State),39%,"$119,100 ","$93,310 ",3.10%,"$92,860 ","$119,600 ",4.40%,,,,,"$134,300 ",4.00%,"$160,500 ",5.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1101,Coastal Carolina University (Out-Of-State),47%,"$145,900 ","$92,700 ",2.70%,"$119,100 ","$119,500 ",3.70%,,,,,"$68,330 ",2.10%,"$95,130 ",3.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1102,Davidson College ,92%,"$206,500 ","$92,390 ",2.00%,"$99,890 ","$199,000 ",5.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1103,Madonna University ,39%,"$115,600 ","$92,340 ",3.10%,"$77,390 ","$130,500 ",5.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1104,The University of Tennessee at Martin (UT Martin) (In-State),49%,"$76,430 ","$90,300 ",4.10%,"$37,820 ","$128,900 ",7.90%,,,,,"$154,200 ",5.80%,"$192,800 ",9.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1105,La Roche College ,53%,"$147,900 ","$90,210 ",2.60%,"$79,940 ","$158,200 ",5.80%,"$51,210 ",1.70%,"$119,200 ",4.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1106,Missouri State University (MSU) (Out-Of-State),55%,"$105,200 ","$88,770 ",3.30%,"$83,170 ","$110,800 ",4.50%,"$9,777 ",0.60%,"$31,780 ",1.80%,"$126,100 ",4.20%,"$148,100 ",5.40%,"$587,100 ",10.10%,"$609,100 ",11.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1107,Mississippi University for Women (In-State),37%,"$65,400 ","$87,610 ",4.50%,"$32,250 ","$120,800 ",8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1108,Eastern Oregon University (Out-Of-State),32%,"$94,140 ","$87,350 ",3.50%,"$69,880 ","$111,600 ",5.10%,,,,,"$358,200 ",8.30%,"$382,400 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1109,School of the Art Institute of Chicago ,54%,"$241,600 ","$87,220 ",1.70%,"$191,400 ","$137,400 ",2.90%,"$82,990 ",1.70%,"$133,200 ",2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1110,University of Southern Mississippi (USM) (Out-Of-State),50%,"$125,900 ","$86,060 ",2.80%,"$84,160 ","$127,800 ",4.90%,,,,,"$17,420 ",0.80%,"$59,140 ",2.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$310,000 ",6.60%,"$351,700 ",8.70%,,,,,,,,
0,1111,University of Wisconsin (UW) - Superior Campus (In-State),35%,"$76,370 ","$86,010 ",4.00%,"$55,780 ","$106,600 ",5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1112,University of Southern Maine (USM) (In-State),30%,"$113,400 ","$86,000 ",3.00%,"$87,570 ","$111,800 ",4.40%,,,,,"($3,610)",0.00%,"$22,190 ",1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1113,Columbus State University (Out-Of-State),34%,"$132,600 ","$85,880 ",2.70%,"$104,000 ","$114,500 ",3.90%,,,,,"$129,700 ",3.60%,"$158,300 ",4.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
